Date,Open,High,Low,Close,Volume,Dividends,StockSplits,CapitalGains
2004-01-30 00:00:00-05:00,40.87561912275754,41.2949422425269,40.87561912275754,41.16075897216797,117600,0.0,0.0,0.0
2004-02-02 00:00:00-05:00,41.17753973628379,41.194313049316406,40.95949306522446,41.194313049316406,65400,0.0,0.0,0.0
2004-02-03 00:00:00-05:00,40.925945193337355,40.942718505859375,40.7749885798214,40.942718505859375,231100,0.0,0.0,0.0
2004-02-04 00:00:00-05:00,39.83570960380481,39.83570960380481,39.70991134643555,39.70991134643555,51000,0.0,0.0,0.0
2004-02-05 00:00:00-05:00,40.00344166669309,40.00344166669309,39.70991345034068,39.911190032958984,2600,0.0,0.0,0.0
2004-02-06 00:00:00-05:00,40.171159889287445,40.716278076171875,40.171159889287445,40.716278076171875,1000,0.0,0.0,0.0
2004-02-09 00:00:00-05:00,40.79175689792472,40.917555126846416,40.607253681954724,40.674346923828125,3200,0.0,0.0,0.0
2004-02-10 00:00:00-05:00,40.9427316725551,40.9427316725551,40.80016326904297,40.80016326904297,200,0.0,0.0,0.0
2004-02-11 00:00:00-05:00,40.774994216672205,41.2278641198261,40.774994216672205,41.13561248779297,176400,0.0,0.0,0.0
2004-02-12 00:00:00-05:00,41.09366702447513,41.09366702447513,40.96786880493164,40.96786880493164,300,0.0,0.0,0.0
2004-02-13 00:00:00-05:00,41.118831027569264,41.118831027569264,40.42275619506836,40.42275619506836,1800,0.0,0.0,0.0
2004-02-17 00:00:00-05:00,40.79177591724499,41.04336929321289,40.79177591724499,41.04336929321289,500,0.0,0.0,0.0
2004-02-18 00:00:00-05:00,40.98464724599193,40.98464724599193,40.83369064331055,40.83369064331055,200,0.0,0.0,0.0
2004-02-19 00:00:00-05:00,40.83369064331055,40.83369064331055,40.83369064331055,40.83369064331055,0,0.0,0.0,0.0
2004-02-20 00:00:00-05:00,40.338889685431965,40.338889685431965,39.81054476830218,40.03697967529297,2400,0.0,0.0,0.0
2004-02-23 00:00:00-05:00,40.25503043308855,40.25503043308855,39.18994903564453,39.18994903564453,1300,0.0,0.0,0.0
2004-02-24 00:00:00-05:00,39.332514666825254,39.416378021240234,39.332514666825254,39.416378021240234,700,0.0,0.0,0.0
2004-02-25 00:00:00-05:00,39.617664519284055,39.617664519284055,39.5841178894043,39.5841178894043,3000,0.0,0.0,0.0
2004-02-26 00:00:00-05:00,39.5841178894043,39.5841178894043,39.5841178894043,39.5841178894043,100,0.0,0.0,0.0
2004-02-27 00:00:00-05:00,39.61767161176287,39.62605667114258,39.61767161176287,39.62605667114258,600,0.0,0.0,0.0
2004-03-01 00:00:00-05:00,40.087303161621094,40.087303161621094,40.087303161621094,40.087303161621094,1000,0.0,0.0,0.0
2004-03-02 00:00:00-05:00,40.255030342037585,40.40598696175482,40.00343704223633,40.00343704223633,3000,0.0,0.0,0.0
2004-03-03 00:00:00-05:00,39.491873326784344,39.62605667114258,39.491873326784344,39.62605667114258,6500,0.0,0.0,0.0
2004-03-04 00:00:00-05:00,39.860862731933594,39.860862731933594,39.860862731933594,39.860862731933594,100,0.0,0.0,0.0
2004-03-05 00:00:00-05:00,39.7099093875652,40.12923262586761,39.6092727061437,39.96150588989258,62400,0.0,0.0,0.0
2004-03-08 00:00:00-05:00,39.9614966111792,39.9614966111792,39.62603681875516,39.71828842163086,2400,0.0,0.0,0.0
2004-03-09 00:00:00-05:00,38.560962236457804,38.7790120984934,38.23389064258663,38.58612060546875,80700,0.0,0.0,0.0
2004-03-10 00:00:00-05:00,38.61967738406439,38.61967738406439,37.999080657958984,37.999080657958984,4000,0.0,0.0,0.0
2004-03-11 00:00:00-05:00,38.04938582567798,38.04938582567798,37.588130950927734,37.588130950927734,4000,0.0,0.0,0.0
2004-03-12 00:00:00-05:00,38.1164757850822,38.30097579956055,38.1164757850822,38.30097579956055,8700,0.0,0.0,0.0
2004-03-15 00:00:00-05:00,37.80617269363693,37.80617269363693,37.61328125,37.61328125,300,0.0,0.0,0.0
2004-03-16 00:00:00-05:00,37.822950563556546,37.822950563556546,37.65522384643555,37.65522384643555,1200,0.0,0.0,0.0
2004-03-17 00:00:00-05:00,38.292605274514514,38.376468658447266,38.292605274514514,38.376468658447266,1800,0.0,0.0,0.0
2004-03-18 00:00:00-05:00,37.890047032809406,38.08293533325195,37.82295378090817,38.08293533325195,400,0.0,0.0,0.0
2004-03-19 00:00:00-05:00,37.96552694766351,37.96552694766351,37.5294303894043,37.5294303894043,500,0.0,0.0,0.0
